case-name,rock_type,porosity,esv,kx,ky,kz,delta_esv
4941,2.0,0.22850785199999998,0.772544267,0.8309,0.72,0.6562,0.0013637455711344687
4942,2.0,0.19443644399999999,0.806764868,0.7831,0.9049,0.6822,0.001491269051401767
4943,2.0,0.183068741,0.8168987059999999,0.8016,0.7759999999999999,0.6624,3.984790597913238e-05
4944,2.0,0.18478725899999998,0.815831692,0.7525,0.8051,0.652,0.00075925089105051
4945,2.0,0.195890667,0.804478568,0.7675,0.7475,0.7654,0.00045918506955069477
4946,2.0,0.214620148,0.78479758,0.8022,0.6773,0.7362,0.0007413890215252674
4947,2.0,0.24073037,0.759681872,0.7509999999999999,0.7576,0.7196,0.0005429454619434826
4948,2.0,0.254990222,0.744904896,0.6831,0.7333,0.7159,0.00014077936034824544
4949,2.0,0.218262815,0.7813468570000001,0.6877,0.6589,0.8016,0.0004993084728340507
4950,2.0,0.200686222,0.801028965,0.6797,0.943,0.7644,0.00214582438988053
4951,2.0,0.258557926,0.74075552,0.5836,0.7275,0.6831,0.0009259711905694487
4952,2.0,0.25839763,0.740706256,0.5399,0.6531,0.5481,0.0012083483498038367
4953,2.0,0.250091556,0.748963582,0.612,0.591,0.5596,0.0012599698103946016
4954,2.0,0.240895704,0.759170198,0.8127,0.6445,0.5399,8.681547495799646e-05
4956,2.0,0.20914074100000002,0.791767323,0.8998,0.7445,0.7118,0.0011481992398346395
4957,2.0,0.21572948100000003,0.785332767,0.8327,0.7266,0.7535,0.0013544408138080068
4958,2.0,0.230162074,0.7701180129999999,0.8511,0.7313,0.6636,0.0003638259308101806
4959,2.0,0.226161185,0.774782423,0.965,0.7415,0.6963,0.001219385719234102
4960,2.0,0.189984593,0.8112008709999999,0.8421,0.9297,0.6941,0.001463507965102162
4961,2.0,0.173144889,0.827197132,0.7826,0.8016,0.7723,0.0004136407883920375
4962,2.0,0.179623111,0.821082792,0.741,0.8616,0.7618,0.0008604618309767527
