case-name,rock_type,porosity,esv,kx,ky,kz,delta_esv
2756,1.0,0.209967111,0.790196472,0.7127,0.8848,0.8272,0.0002070584684227838
2757,1.0,0.18139525899999998,0.818601675,0.8217,0.8247,0.8377,3.745397316231786e-06
2758,1.0,0.15619940699999998,0.844934429,0.9078,0.9213,0.8813,0.0013437250570882862
2759,1.0,0.157297481,0.844040958,0.9375,0.8703,0.8544,0.0015882698459098459
2760,1.0,0.15889363,0.842146532,0.9511,0.7576,0.8063,0.0012366592824638947
2761,1.0,0.168441185,0.8319555909999999,0.8098,0.7809,0.8079999999999999,0.0004771472478467895
2762,1.0,0.184298667,0.8158708790000001,0.7718,0.7214,0.7848,0.00020785303779818134
2763,1.0,0.17585837,0.823938987,0.768,0.7982,0.775,0.0002458837081193761
2765,1.0,0.171315852,0.8288900240000001,0.7597,0.8663,0.7515,0.0002484372369098398
2766,1.0,0.19071940699999998,0.808613389,0.7182,0.7290000000000001,0.7804,0.0008244408747362323
2767,1.0,0.195495704,0.8042199320000001,0.7445,0.7909,0.8016,0.0003534648620445284
2768,1.0,0.191376889,0.8087623009999999,0.7592,0.8133,0.7976,0.00017213210716649397
2769,1.0,0.19137007399999997,0.8084689559999999,0.7898,0.7937,0.8453,0.00019906510360853135
2770,1.0,0.19612711100000002,0.8039142709999999,0.8034,0.7787,0.8104,5.147828788131105e-05
2771,1.0,0.185666074,0.814857607,0.8247,0.8926,0.8193,0.000643078942531983
2772,1.0,0.17240237,0.82812979,0.8683,0.8492,0.7798,0.0006430177911456848
2773,1.0,0.18265037,0.81809336,0.8333,0.8104,0.7976,0.0009099288391431002
2774,1.0,0.190683556,0.810054363,0.7793,0.8876,0.7994,0.0009117805593481501
2775,1.0,0.204828444,0.795336728,0.7173,0.752,0.7707,0.0002077186976240272
2776,1.0,0.21038222199999998,0.7897922829999999,0.6716,0.7777,0.8133,0.0002209993301340487
2777,1.0,0.211255704,0.7883848990000001,0.7252,0.7224,0.8327,0.0004556571778997341
2779,1.0,0.20087496300000002,0.799446917,0.752,0.8377,0.8296,0.00040279053351696773
2780,1.0,0.17073511100000002,0.829605472,0.8358,0.8187,0.8690000000000001,0.00041070471512518234
2781,1.0,0.150374222,0.8508651490000001,0.9375,0.8643,0.8765,0.0014587257497265397
2782,1.0,0.152809778,0.848444493,0.9258,0.8629,0.8485,0.0014805069362568415
2783,1.0,0.157052444,0.84372746,0.8976,0.7367,0.8492,0.00092521058332608
2784,1.0,0.161518222,0.8388738309999999,0.8051,0.8199,0.8302,0.0004675748600465022
2785,1.0,0.169105481,0.8310833940000001,0.7793,0.7723,0.8163,0.00022731525564448726
2786,1.0,0.166752,0.833146886,0.7809,0.804,0.7909,0.00012134922616077477
2788,1.0,0.15086163,0.849920175,0.8127,0.9617,0.8676,0.0009207038895204139
2789,1.0,0.160324741,0.839748268,0.7976,0.782,0.8883,8.694909039824078e-05
2790,1.0,0.170905185,0.8292617440000001,0.8340000000000001,0.8028,0.8217,0.00020133885410927077
2791,1.0,0.17247170399999998,0.8280872440000001,0.8524,0.8428,0.8163,0.0006754427645578835
2792,1.0,0.17091437,0.8291464209999999,0.8643,0.8139,0.8181,7.332294494103517e-05
2793,1.0,0.180378667,0.819788491,0.8557,0.7892,0.7744,0.0002039453992591486
2794,1.0,0.17745748100000003,0.822983936,0.8453,0.8428,0.7842,0.0005366494616432096
2795,1.0,0.17583022199999998,0.824561505,0.855,0.8163,0.7759999999999999,0.0004752989134721807
2796,1.0,0.180402963,0.8202161920000001,0.8005,0.8181,0.8109999999999999,0.000755438309375066
2798,1.0,0.19546044399999998,0.80484357,0.7271,0.7401,0.8683,0.00037787327886201294
2800,1.0,0.19408977800000002,0.806161383,0.7654,0.7686,0.9422,0.0003116488575820543
2801,1.0,0.18043614800000002,0.820462513,0.8371,0.7954,0.9328,0.0010965112697528085
2802,1.0,0.188845333,0.811966703,0.7718,0.8045,0.8834,0.0010010865165864908
2803,1.0,0.165596444,0.8351431990000001,0.8440000000000001,0.8199,0.8576,0.0008864331829382419
2805,1.0,0.168078815,0.8330192470000001,0.8897,0.8447,0.7525,0.0013199110922990454
2806,1.0,0.18206340699999998,0.817954525,0.8127,0.6612,0.7233,2.1923459780944515e-05
2807,1.0,0.15644355599999998,0.8442962359999999,0.8253,0.8428,0.8806,0.0008769917001545071
2808,1.0,0.156782519,0.8439323540000001,0.7976,0.8576,0.8841,0.0008477919589052866
2809,1.0,0.159220148,0.840716755,0.8057,0.8005,0.867,7.504580402346209e-05
2810,1.0,0.158284444,0.8423088790000001,0.7988,0.9336,0.8537,0.0007048972729215361
2811,1.0,0.14931229599999998,0.8514305659999999,0.8327,0.9266,0.8163,0.0008732487803771573
2813,1.0,0.17546755600000002,0.825037351,0.8629,0.7881,0.8074,0.0006123555278803006
2814,1.0,0.17468237,0.82615475,0.8827,0.8505,0.8187,0.0010143003972907067
2815,1.0,0.166990815,0.833483897,0.8919,0.8187,0.8616,0.0005698760692537187
2816,1.0,0.17218133300000002,0.828895622,0.8683,0.8045,0.7723,0.0013009552006152648
2818,1.0,0.159100148,0.8423245540000001,0.8876,0.8690000000000001,0.7793,0.0016942588307175858
2819,1.0,0.164539259,0.836696137,0.8259,0.8531,0.7654,0.0014787002421218494
2820,1.0,0.173079407,0.8278039759999999,0.7837,0.8327,0.7842,0.0010682803251943012
2821,1.0,0.178025778,0.82247898,0.7959,0.7982,0.8649,0.0006140800848617593
2822,1.0,0.18153748100000003,0.8191010329999999,0.7718,0.7815,0.8278,0.0007801383510879176
2823,1.0,0.187703111,0.812342902,0.8016,0.7535,0.8139,5.664554502567708e-05
2824,1.0,0.178003852,0.823045516,0.873,0.8157,0.8383,0.001276609388685353
2825,1.0,0.18799733300000002,0.8131904670000001,0.8284,0.8290000000000001,0.8296,0.0014628030772220015
2826,1.0,0.169074074,0.8317395009999999,0.8683,0.7937,0.8296,0.0009791185646551841
2829,1.0,0.19201807399999998,0.808266301,0.8104,0.6716,0.7525,0.000351957130288447
2830,1.0,0.150860148,0.850074685,0.8676,0.8703,0.8557,0.0011009175906633566
2831,1.0,0.153367111,0.8470057590000001,0.8109999999999999,0.8358,0.8086,0.0004404152081080808
2832,1.0,0.153291259,0.8467247290000001,0.8057,0.8139,0.7959,1.8882526216913495e-05
2836,1.0,0.180653037,0.819583597,0.8205,0.8272,0.787,0.0002888080516386424
