case-name,rock_type,porosity,esv,kx,ky,kz,delta_esv
782,3.0,0.11544444400000001,0.883889976,0.8421,0.8785,0.8063,0.0007524456722761848
784,3.0,0.084716148,0.915931762,0.9375,0.8954,0.8193,0.0007078787619647472
785,3.0,0.142813926,0.857710613,0.715,0.7723,0.873,0.0006119313132937516
786,3.0,0.20821837,0.786986471,0.59,0.7104,0.8643,0.006056163490431129
787,3.0,0.188445926,0.8106298559999999,0.6628,0.7064,0.7037,0.0011388249158121875
789,3.0,0.131175407,0.868819656,0.7290000000000001,0.8492,0.7994,5.682389793998569e-06
790,3.0,0.159786667,0.839178373,0.5751,0.6843,0.768,0.0012317824049574194
791,3.0,0.147734519,0.851809003,0.6349,0.8193,0.6566,0.0005356054072076608
794,3.0,0.161379852,0.839047375,0.8211,0.7914,0.8022,0.0005094404195021624
796,3.0,0.201036148,0.798225392,0.7275,0.7118,0.8302,0.0009242721033641912
797,3.0,0.15129837,0.848528465,0.7304,0.8883,0.9592,0.00020403519196725845
798,3.0,0.08618637,0.9136533000000001,0.8074,0.919,0.8402,0.00017545153052699684
799,3.0,0.141034667,0.85771957,0.6752,0.8151,0.6728,0.0014503064933355243
800,3.0,0.13062014800000002,0.868668505,0.8321,0.8217,0.7122,0.0008182234708608974
801,3.0,0.12906725900000002,0.8708103709999999,0.8954,0.9159999999999999,0.7252,0.00014050453524061312
802,3.0,0.10881155599999999,0.8908776340000001,0.8717,0.8744,0.7136,0.0003487590106137908
803,3.0,0.15464237,0.844513445,0.6712,0.7815,0.6868,0.0009986128592699185
804,3.0,0.219521185,0.779060558,0.4567,0.7141,0.6609,0.0018171627118411643
805,3.0,0.222125037,0.776731712,0.5618,0.7309,0.7475,0.0014697104989610159
806,3.0,0.232026963,0.7671196240000001,0.5478,0.8758,0.6827,0.001111253857731282
807,3.0,0.199049185,0.80008511,0.5728,0.8583,0.7285,0.0010808466434982513
808,3.0,0.20227822199999998,0.795658064,0.5513,0.7002,0.7006,0.002587009728095876
809,3.0,0.15601037,0.842556319,0.6328,0.8346,0.748,0.001698256648011176
810,3.0,0.13809037,0.860541056,0.6827,0.9543,0.7546,0.0015878393190710855
811,3.0,0.114182815,0.885940032,0.8199,0.8235,0.7848,0.00013868211418813407
812,3.0,0.200627556,0.7977215559999999,0.6339,0.7037,0.5989,0.0020652300593939628
813,3.0,0.248073185,0.74928044,0.5417,0.664,0.4735,0.0035194582068468704
814,3.0,0.19243851899999997,0.8063114140000001,0.7055,0.7787,0.6264,0.0015479527310440972
816,3.0,0.074927704,0.9249974670000001,0.8472,0.9056,0.9634,8.08898940368737e-05
817,3.0,0.112352,0.8873351009999999,0.7391,0.855,0.9717,0.0003525034698440019
818,3.0,0.133895704,0.866111253,0.754,0.8453,0.9056,8.032519907942036e-06
819,3.0,0.146948148,0.852798763,0.8005,0.8115,0.7607,0.00029668653717427733
821,3.0,0.179662815,0.819497385,0.5722,0.8247,0.6708,0.001023725384336864
823,3.0,0.269204444,0.729101213,0.3423,0.6679999999999999,0.611,0.0023184911102552496
824,3.0,0.28982429600000004,0.7088111429999999,0.3896,0.6688,0.4165,0.0019214414014930056
825,3.0,0.21589837,0.783660028,0.5681,0.9359,0.6624,0.0005631948501369465
826,3.0,0.186801185,0.8119958140000001,0.6285,0.7633,0.8428,0.0014793442609725468
828,3.0,0.125187259,0.861510662,0.7247,0.922,0.8434,0.015205630161255175
829,3.0,0.129003556,0.8712828579999999,0.6997,0.7831,0.8466,0.0003288348672063661
